Protein	Locus
WP_003516320.1	Clo1313_1451
ADU73258.1	Clo1313_0163
WP_003517588.1	Clo1313_1698
ADU73855.1	Clo1313_0782
ADU74239.1	Clo1313_1175
WP_003515501.1	Clo1313_1244
ADU75925.1	Clo1313_2945
ADU75975.1	Clo1313_2997
WP_003517088.1	Clo1313_0901
WP_003517249.1	Clo1313_1321
WP_003518579.1	Clo1313_1293
WP_003518759.1	Clo1313_1386
ADU74225.1	Clo1313_1161
WP_003517643.1	Clo1313_1669
ADU73867.1	Clo1313_0794
ADU75233.1	Clo1313_2193
ADU73377.1	Clo1313_0286
WP_003517488.1	Clo1313_0998
ADU74753.1	Clo1313_1696
ADU75660.1	Clo1313_2664
ADU74072.1	Clo1313_1004
WP_003517778.1	Clo1313_2257
WP_003515847.1	Clo1313_2469
ADU75194.1	Clo1313_2153
WP_003514453.1	Clo1313_0386
WP_003512300.1	Clo1313_2022
WP_003518745.1	Clo1313_1393
ADU74684.1	Clo1313_1623
ADU73701.1	Clo1313_0621
WP_003513498.1	Clo1313_2950
WP_003512320.1	Clo1313_2012
ADU73574.1	Clo1313_0485
ADU75888.1	Clo1313_2908
ADU75223.1	Clo1313_2183
ADU75616.1	Clo1313_2616
WP_003514861.1	Clo1313_0572
ADU73709.1	Clo1313_0629
WP_003517742.1	Clo1313_2275
ADU74530.1	Clo1313_1468
WP_003516648.1	Clo1313_1555
ADU74297.1	Clo1313_1233
ADU75004.1	Clo1313_1957
WP_003512229.1	Clo1313_2064
ADU73891.1	Clo1313_0822
ADU73546.1	Clo1313_0457
WP_003519151.1	Clo1313_1089
WP_003512254.1	Clo1313_2052
ADU74318.1	Clo1313_1255
ADU73197.1	Clo1313_0100
ADU73456.1	Clo1313_0366
ADU75935.1	Clo1313_2956
WP_003518757.1	Clo1313_1387
ADU74674.1	Clo1313_1613
ADU73707.1	Clo1313_0627
WP_003518684.1	Clo1313_1819
ADU73976.1	Clo1313_0908
ADU73205.1	Clo1313_0108
WP_003517348.1	Clo1313_2339
WP_003519133.1	Clo1313_1098
ADU74654.1	Clo1313_1593
ADU75592.1	Clo1313_2591
ADU73107.1	Clo1313_0007
ADU75701.1	Clo1313_2717
WP_003517206.1	Clo1313_1345
WP_003511778.1	Clo1313_0741
ADU73211.1	Clo1313_0114
ADU75733.1	Clo1313_2749
ADU73926.1	Clo1313_0858
WP_003512235.1	Clo1313_2062
ADU74378.1	Clo1313_1315
ADU74158.1	Clo1313_1094
WP_003516260.1	Clo1313_1490
WP_003517393.1	Clo1313_2311
WP_003514106.1	Clo1313_2710
ADU74507.1	Clo1313_1445
ADU73117.1	Clo1313_0017
ADU73482.1	Clo1313_0392
WP_003516920.1	Clo1313_0556
ADU75131.1	Clo1313_2090
ADU74285.1	Clo1313_1221
WP_003513076.1	Clo1313_0131
WP_003515900.1	Clo1313_2446
ADU73958.1	Clo1313_0890
WP_003515347.1	Clo1313_0346
ADU73881.1	Clo1313_0812
WP_003513886.1	Clo1313_2594
WP_003514857.1	Clo1313_0574
WP_003516227.1	Clo1313_1507
WP_003519011.1	Clo1313_1990
ADU73312.1	Clo1313_0218
ADU75344.1	Clo1313_2322
WP_003513646.1	Clo1313_2878
WP_003512175.1	Clo1313_2092
ADU75808.1	Clo1313_2828
ADU74120.1	Clo1313_1052
WP_003520557.1	Clo1313_0976
WP_003518388.1	Clo1313_2186
WP_003513182.1	Clo1313_0076
ADU74515.1	Clo1313_1453
WP_003517569.1	Clo1313_1704
ADU73595.1	Clo1313_0510
WP_003513166.1	Clo1313_0082
WP_003515597.1	Clo1313_1192
WP_003517623.1	Clo1313_1680
ADU73660.1	Clo1313_0578
ADU73861.1	Clo1313_0788
WP_003517951.1	Clo1313_1753
WP_003515318.1	Clo1313_0367
WP_003511639.1	Clo1313_0667
WP_003513141.1	Clo1313_0094
WP_003518656.1	Clo1313_1255
ADU75246.1	Clo1313_2208
ADU74156.1	Clo1313_1092
ADU74575.1	Clo1313_1513
ADU75633.1	Clo1313_2633
ADU74509.1	Clo1313_1447
ADU75058.1	Clo1313_2014
WP_003516497.1	Clo1313_1630
WP_003516103.1	Clo1313_0738
WP_003515357.1	Clo1313_0323
ADU74937.1	Clo1313_1885
ADU75929.1	Clo1313_2950
ADU75403.1	Clo1313_2386
ADU75082.1	Clo1313_2041
WP_003518624.1	Clo1313_1271
ADU75427.1	Clo1313_2410
ADU73675.1	Clo1313_0593
ADU75270.1	Clo1313_2238
WP_003515732.1	Clo1313_1122
WP_003517108.1	Clo1313_0892
ADU75623.1	Clo1313_2623
WP_004463776.1	Clo1313_0874
ADU74899.1	Clo1313_1846
ADU74927.1	Clo1313_1875
ADU75972.1	Clo1313_2994
WP_003515832.1	Clo1313_2476
WP_003516691.1	Clo1313_2796
ADU74903.1	Clo1313_1850
ADU75582.1	Clo1313_2581
